eid	filename	class_mark	sort_class_mark
122901	MS-DAR-00003-000-00182.jpg	DAR 3: 263v	DAR 00003: 00263V
122313	MS-DAR-00003-000-00183.jpg	DAR 3: 264r	DAR 00003: 00264R
122902	MS-DAR-00003-000-00184.jpg	DAR 3: 264v	DAR 00003: 00264V
122314	MS-DAR-00003-000-00185.jpg	DAR 3: 265r	DAR 00003: 00265R
122903	MS-DAR-00003-000-00186.jpg	DAR 3: 265v	DAR 00003: 00265V
122315	MS-DAR-00003-000-00187.jpg	DAR 3: 266r	DAR 00003: 00266R
122904	MS-DAR-00003-000-00188.jpg	DAR 3: 266v	DAR 00003: 00266V
122316	MS-DAR-00003-000-00189.jpg	DAR 3: 267r	DAR 00003: 00267R
122905	MS-DAR-00003-000-00190.jpg	DAR 3: 267v	DAR 00003: 00267V
122317	MS-DAR-00003-000-00191.jpg	DAR 3: 268r	DAR 00003: 00268R
122906	MS-DAR-00003-000-00192.jpg	DAR 3: 268v	DAR 00003: 00268V
122318	MS-DAR-00003-000-00193.jpg	DAR 3: 269r	DAR 00003: 00269R
122907	MS-DAR-00003-000-00194.jpg	DAR 3: 269v	DAR 00003: 00269V
122319	MS-DAR-00003-000-00195.jpg	DAR 3: 270ar	DAR 00003: 00270AR
122909	MS-DAR-00003-000-00196.jpg	DAR 3: 270av	DAR 00003: 00270AV
122320	MS-DAR-00003-000-00197.jpg	DAR 3: 270r	DAR 00003: 00270R
122908	MS-DAR-00003-000-00198.jpg	DAR 3: 270v	DAR 00003: 00270V
122321	MS-DAR-00003-000-00199.jpg	DAR 3: 271r	DAR 00003: 00271R
122910	MS-DAR-00003-000-00200.jpg	DAR 3: 271v	DAR 00003: 00271V
122322	MS-DAR-00003-000-00201.jpg	DAR 3: 272r	DAR 00003: 00272R
122911	MS-DAR-00003-000-00202.jpg	DAR 3: 272v	DAR 00003: 00272V
122323	MS-DAR-00003-000-00203.jpg	DAR 3: 273r	DAR 00003: 00273R
122912	MS-DAR-00003-000-00204.jpg	DAR 3: 273v	DAR 00003: 00273V
122324	MS-DAR-00003-000-00205.jpg	DAR 3: 274r	DAR 00003: 00274R
122913	MS-DAR-00003-000-00206.jpg	DAR 3: 274v	DAR 00003: 00274V
122325	MS-DAR-00003-000-00207.jpg	DAR 3: 275r	DAR 00003: 00275R
122914	MS-DAR-00003-000-00208.jpg	DAR 3: 275v	DAR 00003: 00275V
122326	MS-DAR-00003-000-00209.jpg	DAR 3: 276ar	DAR 00003: 00276AR
122916	MS-DAR-00003-000-00210.jpg	DAR 3: 276av	DAR 00003: 00276AV
122327	MS-DAR-00003-000-00211.jpg	DAR 3: 276r	DAR 00003: 00276R
122915	MS-DAR-00003-000-00212.jpg	DAR 3: 276v	DAR 00003: 00276V
122328	MS-DAR-00003-000-00213.jpg	DAR 3: 277ar	DAR 00003: 00277AR
122918	MS-DAR-00003-000-00214.jpg	DAR 3: 277av	DAR 00003: 00277AV
122329	MS-DAR-00003-000-00215.jpg	DAR 3: 277r	DAR 00003: 00277R
122917	MS-DAR-00003-000-00216.jpg	DAR 3: 277v	DAR 00003: 00277V
122330	MS-DAR-00003-000-00217.jpg	DAR 3: 278r	DAR 00003: 00278R
122919	MS-DAR-00003-000-00218.jpg	DAR 3: 278v	DAR 00003: 00278V
122331	MS-DAR-00003-000-00219.jpg	DAR 3: 279r	DAR 00003: 00279R
122920	MS-DAR-00003-000-00220.jpg	DAR 3: 279v	DAR 00003: 00279V
122332	MS-DAR-00003-000-00221.jpg	DAR 3: 280ar	DAR 00003: 00280AR
122922	MS-DAR-00003-000-00222.jpg	DAR 3: 280av	DAR 00003: 00280AV
122333	MS-DAR-00003-000-00223.jpg	DAR 3: 280r	DAR 00003: 00280R
122921	MS-DAR-00003-000-00224.jpg	DAR 3: 280v	DAR 00003: 00280V
122334	MS-DAR-00003-000-00225.jpg	DAR 3: 281ar	DAR 00003: 00281AR
122924	MS-DAR-00003-000-00226.jpg	DAR 3: 281av	DAR 00003: 00281AV
122335	MS-DAR-00003-000-00227.jpg	DAR 3: 281r	DAR 00003: 00281R
122923	MS-DAR-00003-000-00228.jpg	DAR 3: 281v	DAR 00003: 00281V
122336	MS-DAR-00003-000-00229.jpg	DAR 3: 282ar	DAR 00003: 00282AR
